Categoria	Pregunta	Dificultad	Tipo	r1	r2	r3	r4	rCorrecta	img
Hardware	La pantalla es un perférico de:	Facil	multiple	Entrada	Salida	Entrada/Salida	Ninguna respuesta es correcta	r2	
Hardware	La pantalla táctil es un perférico de:	Facil	multiple	Entrada	Salida	Entrada/Salida	Ninguna respuesta es correcta	r3	
Software	El sistema binario es el sistema de numeración posicional que tiene como base  ...	Facil	multiple	1 dígito	2 dígito	3 dígito	4 dígito	r2	
Software	El procesamiento paralelo también se conoce como:	Facil	multiple	Multiprocesamiento	Procesamiento online	Procesamiento digital	Paralelismo	r1	
Software	¿Cuál de los siguientes es un sistema operativo que usaría en la computadora?	Facil	multiple	Internet Explorer	Microsoft Windows	Microsoft Word	Netscape	r2	
Software	¿Cuál de las siguientes extensiones no corresponde a un archivo de video?	Facil	multiple	.jpg	.mp4	.swf	.wmv	r1	
Software	Software y programas son	Facil	multiple	verbos	antonimos	sinonimos	adjetivos	r3	
Software	El software te permite	Facil	multiple	ver documentos	ver videos	oir musica	todas las anteriores	r4	
Software	El software es la parte logica de la computadora conformada por los programas que ejecutan funciones.	Facil	booleana	Verdadero	Falso			r1	
Software	Un software y un hardware es lo mismo.	Facil	booleana	Verdadero	Falso			r2	
Software	Los programas que administran y controlan la computadora y todos sus accesorios perifericos se conocen como:	Facil	multiple	sistemas operativos	procesadores de texto	hojas de calculo	presentaciones	r1	
Software	Los programas utilizados para escribir todo tipo de documentos.	Facil	multiple	navegadores	presentaciones	procesadores de texto	hojas de cálculo	r3	
Software	Los programas para ejecutar operaciones matematicas se conocen como:	Facil	multiple	navegadores	sistemas operativos	presentaciones	hojas de calculo	r4	
Software	Power Point es un software de presentaciones gráficas.	Facil	multiple	Verdadero	Falso			r1	
Software	Los programas para elaborar presentaciones son conocidos como:	Facil	multiple	presentaciones	navegadores	hojas de calculo	sistemas operativos	r1	
Software	Los software y programas son elementos fisicos.	Facil	booleana	Verdadero	Falso			r2	
Software	Microsoft Word es un software para realizar hojas de calculo.	Facil	booleana	Verdadero	Falso			r2	
Software	Internet Explorer es un ejemplo de un navegador	Facil	booleana	Verdadero	Falso			r1	
Software	Programas que te permiten navegar por internet son:	Facil	multiple	hojas de calculo	procesadores  de texto	presentaciones	navegadores	r4	
Software	El puntero del mouse en el programa de Microsoft se representa con una flecha.	Facil	booleana	Verdadero	Falso			r1	
Software	El puntero del mouse siempre se representa con una flecha.	Facil	booleana	Verdadero	Falso			r2	
Software	Cual de los siguientes es un software de hoja de calculo?	Facil	multiple	MIcrosoft Word	Chrome	Microsoft Excel	Microsoft Power Point	r3	
Software	El sistema operativo Windows tiene una version solamente.	Facil	booleana	Verdadero	Falso			r2	
Software	Indica cuál de estos elementos es software	Facil	multiple	Teclado	Virus	Webcam	Escáner	r2	
Software	Cuál de estos elementos no es software	Facil	multiple	Word	Windows	Router	Power Point	r3	
Software	Un ejemplo de procesador de textos es ...	Facil	multiple	Power Point	Libre Office Writer	Windows	Excel	r2	
Software	Un programa que crea presentaciones es ...	Facil	multiple	Windows	Google Chrome	Libre Office Impress	Word	r3	
Software	Indica cuáles son Sistemas Operativos	Facil	multiple	Windows	Linux	Mac OS	Todos los anteriores	r4	
Software	Identifica cuál de estos Sistemas Operativos es de ordenador	Facil	multiple	iOS	Chrome	Android	Mac OS	r4	
Software	¿Qué tipo de programa es un reproductor de música?	Facil	multiple	Programa de aplicación	Programa multimedia	Virus	Sistema Operativo	r2	
Software	¿Qué tipo de programa es Word?	Facil	multiple	Programa de aplicación	Programa multimedia	Virus	Sistema Operativo	r1	
Software	¿Qué tipo de programa es un juego?	Facil	multiple	Programa de aplicación	Programa multimedia	Virus	Sistema Operativo	r2	
Software	¿Qué tipo de programa es Power Point?	Facil	multiple	Programa de aplicación	Programa multimedia	Virus	Sistema Operativo	r1	
Software	¿Qué tipo de programa es un troyano?	Facil	multiple	Programa de aplicación	Programa multimedia	Virus	Sistema Operativo	r3	
Software	¿Qué tipo de programa es Linux?	Facil	multiple	Programa de aplicación	Programa multimedia	Virus	Sistema Operativo	r4	
Software	Sin Sistema Operativo mi ordenador ...	Facil	booleana	No puede funcionar	Sí puede funcionar			r1	
Software	¿Qué tipo de programa es Windows?	Facil	multiple	Programa de aplicación	Programa multimedia	Virus	Sistema Operativo	r4	
Software	.doc es la extensión de un archivo de ...	Facil	multiple	Power Point	Word	Imagen	Audio	r2	
Software	.ppt es la extensión de un archivo de ...	Facil	multiple	Power Point	Word	Imagen	Audio	r1	
Software	.jpg es la extensión de un archivo de ...	Facil	multiple	Power Point	Word	Imagen	Audio	r3	
Software	.mp3 es la extensión de un archivo de ...	Facil	multiple	Power Point	Word	Imagen	Audio	r4	
Cultura	Sistema operativo caracteristico de las computadoras personales IBM durante la década de 1980 y mediados de los 90	Facil	multiple	MS-DOS.	Unix	Linux	Microsoft Windows	r1	
Software	El sistema hexadecimal es el sistema de numeración posicional que tiene como base ...	Facil	multiple	2 cifras	10 cifras	8 cifras	16 cifras	r4	
Software	El sistema octal es el sistema de numeración posicional que tiene como base ...	Facil	multiple	2 cifras	10 cifras	8 cifras	16 cifras	r3	
Software	El sistema decimal es el sistema de numeración posicional que tiene como base ...	Facil	multiple	2 cifras	10 cifras	8 cifras	16 cifras	r2	
Historia	¿Qué significa la palabra Informática? 	Facil	multiple	Computación	Unión de dos palabras: Información y Automática	Computadoras y Máquinas	Máquinas	r2	
Historia	¿Qué hace la Informática?	Facil	multiple	Utiliza programas para realizar trabajos digitales	Trata la info, almacena, organiza y la transmite en máquinas	Nos enseña a utilizar la robótica	Diseña y estructura la parte física de las computadoras	r4	
Historia	¿Cuál fue la primer máquina construida que hacía operaciones de suma y resta?	Facil	multiple	Calculadora	Computador	Pascalina	La Rueda	r3	
Historia	Inventor de la Pascalina	Facil	multiple	Charles Babbage	Blaise Pascal	Eckert	Maulchy	r2	
Historia	¿En cuantas generaciones se clasifica la tecnología?	Facil	multiple	5	16	7	6	r4	
Historia	Que años abarca la primera generación computacional	Facil	multiple	1964 a 1971	1951 a 1958	1959 a 1964	1941 a 1950	r2	
Historia	Que años abarca la segunda generación computacional	Facil	multiple	1959 a 1964	1952 a 1958	1970 a 1985	1942 a 1950	r1	
Historia	Que años abarca la tercera generación computacional	Facil	multiple	1951 a 1958	1941 a 1950	1964 a 1971	1982 a 1989	r3	
Historia	Que años abarca la cuarta generación computacional	Facil	multiple	1967 a 1971	1954 a 1958	1962 a 1964	1971 a 1981	r4	
Historia	Que años abarca la quinta generación computacional	Facil	multiple	1964 a 1971	1951 a 1958	1959 a 1964	1982 a 1989	r4	
Historia	Que años abarca la sexta generación computacional	Facil	multiple	1980 hasta la fecha	1990 hasta la fecha	2000 hasta la fecha	2012 hasta la fecha	r2	
Historia	Son características de la primera generación.	Facil	multiple	Se inventó el microchip	Más componentes en un chip, se creancomputadoras personales	Tubos de vacío, grandes dimensiones, alto consumo de energético	Usode transistores, máspequeñas, consumen menos electricidad	r3	
Historia	Esta generación se caracteriza por la invención del Transistor	Facil	multiple	3° Generación	2° Generación	5° Generación	6° Generación	r2	
Historia	Características de la 3° Generación	Facil	multiple	Steve Jobs yBill Gates haciendo Apple y Microsoft.	Microchip, reduce el espacio físico, costos y mantenimiento	Operaciones de suma, resta, multiplicación y división	Tubos de vacío, grandes dimensiones, alto consumo de energético	r2	
Historia	La reducción del microprocesador de Chip hizo posible la creación de las computadoras personales	Facil	multiple	3° Generación	4° Generación	5° Generación	6° Generación	r2	
Historia	Características de la 4° Generación	Facil	multiple	Más componentes en un chip, se crean computadoras personales	Se inventó el microchip	Tubos de vacío, grandes dimensiones, alto consumo de energético	Steve Jobs yBill Gates haciendo Apple y Microsoft.	r1	
Historia	En esta generación hace su aparición la nueva novedad de la tecnología	Facil	multiple	3° Generación	4° Generación	5° Generación	6° Generación	r3	
Historia	Características de la 5° Generación	Facil	multiple	Surge la robótica, aparecen todas las redes y canales decomu	Se inventó el microchip	Más componentes en un chip, se crean computadoras personales	Steve Jobs yBill Gates haciendo Apple y Microsoft.	r4	
Historia	Es posiblemente el primer dispositivo mecánico de contabilidad en la historia	Facil	multiple	la calculadora	el abaco	la sumadora	rueda escala	r2	
Historia	Se les considera los inventores del abaco	Facil	multiple	los chinos	los sirios	los alemanes	los franceses	r1	
Historia	Características de la computadora ENIAC 	Facil	multiple	ordenador electrónico 	maquina automática eléctrica	tecnología de válvulas de vacío	realizar operaciones	r1	
Historia	Cúal fue el invento que hizo realidad pasar la primera a la segunda generación	Facil	multiple	circuitos integrados	los bulbos	memorias con núcleos magnéticos	los transistores	r4	
Historia	¿Qué hizo Charles Babbage por el desarrollo de la informática?	Facil	multiple	El cálculo automático de logaritmos y ecuaciones	La máquina analítica, que utilizaba tarjetas perforadas.	El uso de muelles y relés para hacer una máquina diferencial	Es considerado el padre de la teoría de la informática	r2	
Historia	¿Qué es ENIAC?	Facil	multiple	Una computadora de alta resolución programable y electrónica	Un proyecto de ordenador personal de la universidad de UCLA	El primer ordenador que conectó con Internet	Primer computador digital, electrónico y programable (1946)	r4	
Lenguaje	Es el lenguaje para estructurar las páginas web	Facil	multiple	HTML 	CSS 	 Javascript	Adobe Dreamweaver	r1	
Lenguaje	Es el lenguaje para definir estilos en nuestra página web	Facil	multiple	HTML 	CSS 	 Javascript	Adobe Dreamweaver	r2	
Lenguaje	Es la etiqueta de HTML para inserta imágenes	Facil	multiple	<link>	<a>	<ul>	<img>	r4	
Lenguaje	Es la etiqueta para insertar enlaces	Facil	multiple	<link>	<a>	<iframe>	<h1>	r2	
Lenguaje	¿Es posible darle estilos a nuestros documentos HTML, dentro del mismo HTML?	Facil	booleana	Sí, es posible, pero no se recomienda	No, es imposible			r1	
Lenguaje	Es la etiqueta que me permite crear tablas	Facil	multiple	<li>	<td>	<table>	<h2>	r3	
Lenguaje	Permite centrar el texto en CSS	Facil	multiple	texto-alineado: center	text-align: centro	center-text 	text-align: center	r4	
Lenguaje	Si no queremos utilizar un subrayado ¿qué hacemos?	Facil	multiple	text-decoration: underline	text-decoration: none	text-decoration: overline	display: block	r2	
Lenguaje	Etiqueta de encabezado:	Facil	multiple	<Title>	<Head>	<Encabezado>	<Cabeza>	r2	
Lenguaje	Etiqueta que permite colocar el nombre de la página en la pestaña:	Facil	multiple	<Head>	<h1>	<Title>	<Cabeza>	r3	
Lenguaje	Etiqueta que me permite iniciar con el cuerpo de mi página web:	Facil	multiple	<head>	<cuerpo>	<body>	<main>	r3	
Lenguaje	Etiqueta que me permite agregar párrafos a mi página web:	Facil	multiple	<p>	<texto>	<parrafo>	<pp>	r1	
Lenguaje	Etiqueta que me permite iniciar página web:	Facil	multiple	<body>	<html>	<head>	<title>	r2	
Lenguaje	Ha clic en la etiqueta que está escrita correctamente:	Facil	multiple	<bodi>	<body/>	<body>	<bodi/>	r3	
Lenguaje	Etiqueta que me permite agregar una lista ordenada:	Facil	booleana	<ul>	<ol>			r2	
Lenguaje	Etiqueta que me permite agregar una lista no ordenada:	Facil	multiple	<ul>	<ol>			r1	
Lenguaje	Etiqueta que me permite finalizar el cuerpo de mi página web:	Facil	multiple	<html>	</body>	<fin>	<close>	r2	
Lenguaje	Signo que utilizamos para cerrar etiquetas:	Facil	multiple	/	"	=	<>	r3	
Lenguaje	¿Qué significan los signos "<="?	Facil	multiple	Igual	Mayor o igual que.	Menor o igual que.	Mayor que.	r3	
Lenguaje	¿Qué significan los signos ">="?	Facil	multiple	Igual	Mayor o igual que.	Menor o igual que.	Menor que.	r2	
Lenguaje	¿Qué significa el signo "<"?	Facil	multiple	Igual	Mayor que.	Menor o igual que.	Menor que.	r4	
Lenguaje	¿Qué significan los signos "!="?	Facil	multiple	Diferente	Igual	Exacto	Identico	r1	
Lenguaje	¿Para que sirve la sentencia if?	Facil	multiple	para permitir ejecutar una condicion	para hacer una operacion	para poner una tabla	para agregar un comentario	r1	
Lenguaje	¿que hace la sentencia else?	Facil	multiple	determina si es verdadera o falsa la condicion	te deja poner un comentario	cierra un codigo php	abre un codigo php	r1	
Lenguaje	¿que representa el elemento <form>?	Facil	multiple	un formulario	una variable	una formula	ninguna es correcta	r1	
Lenguaje	¿Qué significan los signos "=="?	Facil	multiple	Equivalente	Incremento	Al doble	Diferente	r1	
Lenguaje	¿que hace el elemento <br>?	Facil	multiple	agrega cursiva al texto	ejecuta un salto de linea	centra un texto	hace una linea	r1	
Lenguaje	¿HTML, es un lenguaje de programación?	Facil	booleana	Si	No			r2	
Lenguaje	¿CSS, es un lenguaje de programación?	Facil	booleana	Si	No			r2	
Lenguaje	¿PHP, es un lenguaje de programación?	Facil	booleana	Si	No			r1	
Lenguaje	¿JavaScript, es un lenguaje de programación?	Facil	booleana	Si	No			r1	
Lenguaje	Con HTML definimos el ________, de nuestra pagina web.	Facil	multiple	Estilo	Comportamiento	Contenido	Espectro	r3	
Lenguaje	¿Cual es el elemento de "encabezado" mas grande?	Facil	multiple	<h1>	<h6>	<heading>	<p>	r1	
Lenguaje	Cual de las siguientes es la forma valida de agregar un hipervinculo	Facil	multiple	&lt;a url="http://www.w3schools.com">W3Schools.com</a>	&lt;a name="http://www.w3schools.com">W3Schools.com</a>	&lt;a>http://www.w3schools.com</a>	&lt;a href="http://www.w3schools.com">W3Schools</a>	r4	
Lenguaje	Con CSS definimos el _______, de nuestra pagina web.	Facil	multiple	Contenido	Estilo	Comportamiento	Nombre	r2	
Lenguaje	Cual es la forma correcta de vincular estilos CSS desde un archivo externo.	Facil	multiple	&lt;link rel="stylesheet" type="text/css" href="mystyle.css">	&lt;link url="stylesheet" type="text/css" href="mystyle.css">	&lt;style src="mystyle.css">	&lt;stylesheet>mystyle.css</stylesheet>	r1	
Lenguaje	¿Cual es la forma correcta de insertar un comentario en CSS?	Facil	multiple	// this is a comment	/* this is a comment */	// this is a comment //	 this is a comment	r2	
Lenguaje	Cual es la propiedad utilizada para cambiar el color de fondo?	Facil	multiple	color	bgcolor	background-color	fond-color	r3	
Lenguaje	Como seleccionas a todos los elementos p dentro de la clase test?	Facil	multiple	test p	p .test	.test p	p.test	r3	
Lenguaje	¿Cual es la sintaxis correcta para agregar codigo JS?	Facil	multiple	&lt;script src="script.js">	 &lt;script path="script.js">	&lt;script href="script.js">	 &lt;script link="script.js">	r1	
Lenguaje	¿Como declaramos una función en JS?	Facil	multiple	function nombreFuncion() { };	public String nombreFuncion() { }	funcion nombreFuncion() { };	function nombreFuncion() { };	r1	
Lenguaje	¿Java y Javascript son los mismo?	Facil	booleana	Si	No			r2	
Cultura	La computadora personal (PC) fue introducida por	Media	multiple	Apple	Ford	IBM	Hp	r3	
Cultura	El acrónimo en inglés "USB" significa...	Media	multiple	Universal Serial Bus	Universal Society of Books	University of Brisbane	United States Bank	r1	
Cultura	Un _____________ es un estándar que define cómo un código de barras almacena su información.	Media	multiple	Identificación de frecuencia de radio	Reconocimiento óptico de caracteres	Código Universal de Producto	Reconocimiento óptico de marcas	r3	
Lenguaje	ASCII significa pos sus siglas en inglés "_________ Standard Code for Information Interchange"	Media	multiple	Association	African	American	Audio	r3	
Hardware	Parte de la computadora que interpreta las instrucciones y procesa los datos de los programas de computadora	Media	multiple	CPU	Memoria RAM	Tarjeta Madre	Disco duro	r1	
Hardware	La CPU usa la RAM como área de almacenamiento __________.	Media	multiple	Permanente 	Primario	Secundario	Temporal	r4	
Hardware	La velocidad del reloj interno de un procesador se mide en la unidad denominada:	Media	multiple	GHz	Mb	Segundos	Gb	r1	
Hardware	Un iPod Touch de Apple almacena música y datos usando:	Media	multiple	SD Card	Memoria flash	Memoria USB	Lector de tarjetas	r2	
Hardware	La forma de píxel de la pantalla LCD es	Media	multiple	Rectangular	Circular	Cuadrada	Oblicua	r3	
Hardware	Consiste en tres capas de un material semiconductor, cada una capaz de transportar una corriente	Media	multiple	Transitor	Modem	Router	Tarjeta madre	r1	
Hardware	Cuál de los siguientes retiene la información que está almacenando cuando se apaga el sistema	Media	multiple	CPU	ROM	DRAM	RAM	r4	
Hardware	Qué significa "LCD" por sus siglas en inglés	Media	multiple	Living, Crying, Dying	Liquid Crystal Display	Listen Closely Dude	Light Circuit Display	r2	
Hardware	¿Qué son los acelerómetros?	Media	multiple	Sensores que detectan condiciones del mundo real	Sensores que detectan cambios de movimiento rápidos para que las unidades permanezcan protegidas	Datos a la computadora	Convierte señales analógicas en datos digitales	r2	
Hardware	La placa de circuito que contiene la CPU de una computadora se conoce como:	Media	multiple	Tarjeta central	Tarjeta madre	Tarjeta completa	Ninguna de las anteriories	r2	
Hardware	¿Qué se considera que hay entre el procesador y la RAM?	Media	multiple	Ranuras de expansión	Buses	Tarjetas de expansión	Bahías	r2	
Hardware	Una __ es un identificador único (también conocido como una combinación de números y letras) asignado a una sola computadora de Apple	Media	multiple	PDA	Codificación de caracteres	Dirección MAC	OCR	r3	
Hardware	Qué significa "CPU" por sus siglas en inglés	Media	multiple	Central Processing Unit	Central Printing Unit	Collaborative Processing Unit	Collaborative Processing Unit	r1	
Hardware	Qué significa "RAM" por sus siglas en inglés	Media	multiple	Retrieve Alternate Memory	Random Access Memory	Read Always Memory	Roosters At Midnight	r2	
Hardware	¿Qué memoria se borra al apagar el ordenador?:	Media	multiple	ROM	RAM	USB	Ninguna es correcta	r2	
Hardware	¿Cuál es la memoria que contiene las instrucciones para el arranque inicial del ordenador?	Media	multiple	ROM	RAM	USB	Disco duro	r1	
Hardware	El ordenador puede funcionar sin memoria RAM	Media	booleana	Verdadero	Falso			r2	
Hardware	La BIOS es...	Media	multiple	Un periférico nuevo	La memoria que contiene el arranque del ordenador	La rama de la Biologia en computación	Un diminutivo de Biosfera	r2	
Hardware	La velocidad de internet se mide en	Media	multiple	MB/s (Megas por segundo)	GigaHerzios	Km/h (Kilómetros por hora)	Hz/s (Herzios por segundo)	r1	
Hardware	La memoria RAM contiene	Media	multiple	El arranque del ordenador	Los datos de los programas que tenemos abiertos	Las aplicaciones que tenemos descargadas	Ninguna respuesta es correcta	r2	
Hardware	Los puertos HDMI son de ...	Media	multiple	Vídeo	Audio	Conexión a internet	Carga eléctrica	r1	
Hardware	Cuál de las siguintes es la unidad más grande	Media	multiple	Kilobyte	MegaByte	Terabyte	Gigabyte	r3	
Hardware	Cuál de las siguintes es la unidad más grande	Media	multiple	Petabyte	Terabyte	Zettabyte	Exabyte	r3	
Hardware	Los componentes de Entrada/salida (discos duros, CD's, DVD's...) necesitan...	Media	multiple	Electricidad, datos y ventilación para evitar sofocos	Electricidad y datos	Solo datos, por IDE o por SATA	Ninguna respuesta es correcta	r2	
Software	¿Qué hace el procesamiento paralelo?	Media	multiple	Grupos de separación de información	Procesamiento que se ha utilizado en servidores y estaciones de trabajo de alta gama	Calcular la suma de cálculos complejos de operaciones financieras	Manejo de cientos de millones de consultas de búsqueda al día.	r2	
Software	Es el tipo de programas por lo que requires hacer el pago de una licencia para usarlos	Media	multiple	Software libre	Software Comercial	Antivirus	Android	r2	
